This file contains external shading fractions for all shading surfaces of all zones.
Surface Name,466564015B2F43199C1B,466564015B2F43199C1B_GLZ_0_F3AAB6FB8BD3451FBA7D,AA69F423B82B48AAAA7E,AA69F423B82B48AAAA7E_GLZ_0_706693F7F3F64B68969E,FD8A070E4BE54D88AE3B,FD8A070E4BE54D88AE3B_GLZ_0_B285641B64A742589E03,D9E98E2F98CA44578C65,AF6581C9E0E3475DA994,AF6581C9E0E3475DA994_GLZ_0_A0DF08794DAE4C1B8D9A,3675D61B3AAB405AA64E,3675D61B3AAB405AA64E_GLZ_0_C015151E9B4341638ED8,3450B9CAC0D14E639808_SRFP_0,3450B9CAC0D14E639808_SRFP_1,3450B9CAC0D14E639808_SRFP_2,3450B9CAC0D14E639808_SRFP_3,3450B9CAC0D14E639808_SRFP_4,3450B9CAC0D14E639808_SRFP_5,3450B9CAC0D14E639808_SRFP_6,3450B9CAC0D14E639808_SRFP_7,749EC30EECD34DC4A25C,749EC30EECD34DC4A25C_GLZ_0_7C286FED11CF4D82B23B,F54267983C3742E19DB3,10AE508A81264C718D07,91E9F8EB13224A229BEE,2A66A42AD58A403783AA,134068DDAD364F55B5A4,15D536BB1111463BB433,15D536BB1111463BB433_GLZ_0_3B1B787BEBAE42D6974C,368CA5EB2212437BAC65,E9DEF6BFFD0D4E24982D,E9DEF6BFFD0D4E24982D_GLZ_0_FACD16C8C8724A7C9FE8,18827043BD1748228F9F_SRFP_0,18827043BD1748228F9F_SRFP_1,18827043BD1748228F9F_SRFP_2,18827043BD1748228F9F_SRFP_3,18827043BD1748228F9F_SRFP_4,18827043BD1748228F9F_SRFP_5,18827043BD1748228F9F_SRFP_6,18827043BD1748228F9F_SRFP_7,1940A526EB2349FCAC1E,1940A526EB2349FCAC1E_GLZ_0_5B10F896F7BD4131A002,21EFBD8EB290413FBD96,6EF94013FE2746C399E9,47C50FED2A7A44E3B20B,65EDE32B890F4F1F9280,E792B52EA48241D382FB,E792B52EA48241D382FB_GLZ_0_1798305B2A5941A4899A,A492058F47A24CFDB0FC_SRFP_0,A492058F47A24CFDB0FC_SRFP_1,A492058F47A24CFDB0FC_SRFP_2,A492058F47A24CFDB0FC_SRFP_3,A492058F47A24CFDB0FC_SRFP_4,A492058F47A24CFDB0FC_SRFP_5,A492058F47A24CFDB0FC_SRFP_6,A492058F47A24CFDB0FC_SRFP_7,1489C5E4864749108183,1489C5E4864749108183_GLZ_0_F33F73C9CB4C44119EC3,629F7D9ECD6240458EB2,607BDE968C67456E8C5E,FCBCC5A43A364B309038,A9013CCDF7514C79B799,0BB252B337B243D1A9CA,0BB252B337B243D1A9CA_GLZ_0_F5CF2156590D48F8B885,1B4A70146E884417A6C2_SRFP_0,1B4A70146E884417A6C2_SRFP_1,1B4A70146E884417A6C2_SRFP_2,1B4A70146E884417A6C2_SRFP_3,1B4A70146E884417A6C2_SRFP_4,1B4A70146E884417A6C2_SRFP_5,1B4A70146E884417A6C2_SRFP_6,1B4A70146E884417A6C2_SRFP_7,9A94ACA56A16440990CD,9A94ACA56A16440990CD_GLZ_0_BEDFD86103A246C58282,E4458FF87EE04E219343,92EBA5E7333F41208130,D4EE8901333D4106849A,
01/01 00:00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
01/01 00:10,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
01/01 00:20,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
01/01 00:30,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
01/01 00:40,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
01/01 00:50,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
01/01 01:00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
01/01 01:10,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
01/01 01:20,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
01/01 01:30,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
