Date/Time,ZONE1:Zone Total Internal Total Heating Energy [J](Hourly),ZONE2:Zone Total Internal Total Heating Energy [J](Hourly),ZONE3:Zone Total Internal Total Heating Energy [J](Hourly),ZONE4:Zone Total Internal Total Heating Energy [J](Hourly),ZONE1:Zone People Occupant Count [](Hourly),ZONE1:Zone People Total Heating Energy [J](Hourly),ZONE2:Zone People Occupant Count [](Hourly),ZONE2:Zone People Total Heating Energy [J](Hourly),ZONE3:Zone People Occupant Count [](Hourly),ZONE3:Zone People Total Heating Energy [J](Hourly),ZONE4:Zone People Occupant Count [](Hourly),ZONE4:Zone People Total Heating Energy [J](Hourly),ZONE1:Zone Lights Total Heating Energy [J](Hourly),ZONE2:Zone Lights Total Heating Energy [J](Hourly),ZONE3:Zone Lights Total Heating Energy [J](Hourly),ZONE4:Zone Lights Total Heating Energy [J](Hourly),ZONE1:Zone Electric Equipment Total Heating Energy [J](Hourly),ZONE2:Zone Electric Equipment Total Heating Energy [J](Hourly),ZONE3:Zone Electric Equipment Total Heating Energy [J](Hourly),ZONE4:Zone Electric Equipment Total Heating Energy [J](Hourly),ZONE1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ZONE2:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ZONE3:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ZONE4:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ZONE1:Zone Mean Radiant Temperature [C](Hourly),ZONE2:Zone Mean Radiant Temperature [C](Hourly),ZONE3:Zone Mean Radiant Temperature [C](Hourly),ZONE4:Zone Mean Radiant Temperature [C](Hourly),ZONE1:Zone Mean Air Dewpoint Temperature [C](Hourly),ZONE2:Zone Mean Air Dewpoint Temperature [C](Hourly),ZONE3:Zone Mean Air Dewpoint Temperature [C](Hourly),ZONE4:Zone Mean Air Dewpoint Temperature [C](Hourly),ZONE1:Zone Air Temperature [C](Hourly),ZONE1:Zone Air Relative Humidity [%](Hourly),ZONE1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ZONE1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),ZONE2:Zone Air Temperature [C](Hourly),ZONE2:Zone Air Relative Humidity [%](Hourly),ZONE2:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ZONE2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),ZONE3:Zone Air Temperature [C](Hourly),ZONE3:Zone Air Relative Humidity [%](Hourly),ZONE3:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ZONE3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),ZONE4:Zone Air Temperature [C](Hourly),ZONE4:Zone Air Relative Humidity [%](Hourly),ZONE4:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ZONE4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),ZONE1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),ZONE1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ZONE1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Outdoor Air Sensible Heating Energy [J](Hourly),ZONE1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Outdoor Air Sensible Cooling Energy [J](Hourly),ZONE2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),ZONE2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ZONE2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Outdoor Air Sensible Heating Energy [J](Hourly),ZONE2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Outdoor Air Sensible Cooling Energy [J](Hourly),ZONE3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),ZONE3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ZONE3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Outdoor Air Sensible Heating Energy [J](Hourly),ZONE3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Outdoor Air Sensible Cooling Energy [J](Hourly),ZONE4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),ZONE4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ZONE4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Outdoor Air Sensible Heating Energy [J](Hourly),ZONE4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Outdoor Air Sensible Cooling Energy [J](Hourly),ZONE1:Zone Mechanical Ventilation Current Density Volume Flow Rate [m3/s](Hourly),ZONE2:Zone Mechanical Ventilation Current Density Volume Flow Rate [m3/s](Hourly),ZONE3:Zone Mechanical Ventilation Current Density Volume Flow Rate [m3/s](Hourly),ZONE4:Zone Mechanical Ventilation Current Density Volume Flow Rate [m3/s](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.58679205385019,14.689276311411185,14.742056904787445,14.8812203343572,9.2057771675409,8.249750792899994,9.205777257462337,8.24975075732524,15.999999999999999,64.09257641266275,16.0,100.0,15.999999999999995,60.2175538065178,16.0,100.0,16.000000000000005,64.09257648078746,16.0,100.0,16.0,60.21755299782853,16.0,100.0,671569.2264578263,1907527.2604997284,5786195.965903582,0.0,605303.0335572634,1310026.3293791894,5782857.014102861,0.0,552495.6874597515,1907326.3801067642,5786195.965998277,0.0,478324.34075642676,1309881.7591946072,5782857.013886677,0.0,0.17333022010905395,0.17322085182713063,0.1733302201119823,0.17322085182068046 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.395539611218894,14.50972393877313,14.571936486905493,14.719122855790383,6.6758511889728029,5.45505598457378,6.675851188141572,5.455055973035292,15.999999999999999,53.912811816937459,16.0,100.0,15.999999999999999,49.52607246290926,16.0,100.0,15.999999999999999,53.912812406827679,16.0,100.0,16.0,49.52607243325065,16.0,100.0,822951.7053876566,1295421.355103468,7048717.946339094,0.0,752723.791981643,200873.72893860533,7042049.406392693,0.0,687876.333889087,1295270.377187894,7048717.946421521,0.0,613064.5508576149,200849.53015369155,7042049.406304755,0.0,0.17247992935159185,0.17235693688000487,0.17247992935289345,0.17235693687917379 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.262059677042663,14.37888132567847,14.437933909481379,14.582826546328903,5.584447183572428,5.133257063486802,5.5844471857324688,5.13325702482957,16.000000000000005,49.97598996290782,16.0,100.0,16.0,48.42949114890982,16.0,100.0,16.000000000000005,49.97599023648696,16.0,100.0,16.000000000000005,48.42949038923526,16.0,100.0,910099.672577847,488275.5638591442,7289981.774334293,0.0,840525.0151380244,107647.51510725499,7287590.480701444,0.0,771615.8216793262,488217.1621868954,7289981.774365117,0.0,699831.884330991,107634.40009394042,7287590.480679066,0.0,0.17235157192711379,0.1723082592756964,0.17235157192770438,0.17230825927517438 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.154972651380973,14.26797608566113,14.31549078866095,14.457087611935587,5.694859491286116,5.977409052062168,5.69485950271697,5.9774090344703378,16.0,50.36905515118479,16.0,100.0,16.0,51.40040230238014,16.0,100.0,16.0,50.369054843585839,16.0,100.0,15.999999999999995,51.40040316024877,16.0,100.0,1610456.9150339147,566.5668808830787,6822449.734612977,0.0,1459419.863067035,0.0,6822884.783361447,0.0,1477236.2325419114,566.4994231160563,6822449.734580003,0.0,1320588.347809539,0.0,6822884.783456387,0.0,0.17233177466702855,0.1723606793258605,0.17233177466592865,0.1723606793286532 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.048809655307828,14.156377749694533,14.189271602101789,14.326980993912123,6.530587647611707,6.759282367650843,6.530587619695158,6.75928228609017,15.999999999999999,53.35057485126481,16.0,100.0,16.0,54.20941191200843,16.0,100.0,15.999999999999995,53.35057486219373,16.0,100.0,16.000000000000005,54.2094115871335,16.0,100.0,1208827.4928324249,141195.37901752449,6367111.049938651,0.0,974005.4581371613,271043.474789946,6368789.659703083,0.0,1083510.7866202924,141180.1527292568,6367111.0499315359,0.0,839203.4603032927,271011.92555894938,6368789.659685282,0.0,0.17244743651543735,0.17247152361041233,0.17244743651564968,0.17247152360913943 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.955576011573229,15.047428361278384,15.016382197124927,15.13726838238948,5.812946950954173,5.569697204673948,5.812946520696014,5.569695332837976,19.999871146099154,39.47881072421467,20.0,24.0,20.0028264850463,38.814464685141818,20.0,24.0,20.000088020609867,39.47827272977637,20.0,24.0,20.003153942005317,38.81366668986872,20.0,24.0,3998472.652178519,569377.4011162572,10038302.542382362,0.0,3890311.9589708575,444330.59894717475,10039452.670339829,0.0,3901695.8826781965,574872.988716728,10038475.360393877,0.0,3764140.829552223,452578.54906798407,10039715.923413827,0.0,0.17478297813913488,0.1747617860077442,0.17478310659263253,0.1747619798614651 
 01/01  07:00:00,843750.0,843750.0,843750.0,843750.0,3.125,843750.0,3.125,843750.0,3.125,843750.0,3.125,843750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.589699401003257,15.68009493388999,15.629715261395262,15.744975125134479,6.0519262174156769,6.419558782821775,6.051926202119163,6.4195587842847499,20.000000000000005,40.145271557613998,20.0,24.0,19.999999999999987,41.205534578714949,20.0,24.0,19.99999999999999,40.145271905028007,20.0,24.0,20.000000000000019,41.20553410818064,20.0,24.0,3058175.044594394,12516.238085462146,10359798.08043783,0.0,2924832.6352810186,0.0,10361131.445916178,0.0,2952885.1842854388,12515.169535118957,10359798.080442345,0.0,2787940.8663037877,0.0,10361131.445724506,0.0,0.17502545722885452,0.17506434952947989,0.17502545722743682,0.17506434952981224 
 01/01  08:00:00,2463750.0,2463750.0,2463750.0,2463750.0,3.125,843750.0,3.125,843750.0,3.125,843750.0,3.125,843750.0,540000.0,540000.0,540000.0,540000.0,1080000.0,1080000.0,1080000.0,1080000.0,0.0,0.0,0.0,0.0,16.47574671786526,16.556443940370973,16.51346270627934,16.621319582461088,7.359447217143643,7.61371110598537,7.359447188659112,7.613711110528943,19.999999999999976,43.91184792911068,20.0,24.0,20.000000000000058,44.678983902788697,20.0,24.0,19.99999999999992,43.91184876798932,20.0,24.0,19.999999999999998,44.67898346505612,20.0,24.0,13164502.726377499,64477.55502020182,9944883.348731492,0.0,13017836.56486272,217847.93595874273,9947543.610974228,0.0,13071193.956535129,64472.37398957095,9944883.348683617,0.0,12902815.043662839,217826.86682281938,9947543.61100429,0.0,0.17524472106435294,0.17527290182669129,0.17524472106388493,0.17527290182675082 
 01/01  09:00:00,4995000.0,4995000.0,4995000.0,4995000.0,12.5,3375000.0,12.5,3375000.0,12.5,3375000.0,12.5,3375000.0,540000.0,540000.0,540000.0,540000.0,1080000.0,1080000.0,1080000.0,1080000.0,45541.59710429472,38695.66950609304,29489.72748944826,37421.25818750345,17.03801769797721,17.11370863831179,17.081454308837939,17.190860761679564,7.488506833351303,7.424439167781382,7.4885068522867439,7.424439125225455,19.999999999999948,44.3016425360094,20.0,24.0,19.99999999999981,44.11413118765316,20.0,24.0,19.99999999999998,44.30164212149406,20.0,24.0,19.99999999999995,44.11412987316166,20.0,24.0,11411640.368781256,903437.9579141832,9819892.718471069,0.0,11411444.606002046,891027.2263206091,9819786.868649805,0.0,11321178.213575047,903368.389668975,9819892.718487835,0.0,11301411.558828738,890943.4454929053,9819786.86861981,0.0,0.17533500324066135,0.17532810888269449,0.17533500324108357,0.17532810888207477 
 01/01  10:00:00,4995000.0,4995000.0,4995000.0,4995000.0,12.5,3375000.0,12.5,3375000.0,12.5,3375000.0,12.5,3375000.0,540000.0,540000.0,540000.0,540000.0,1080000.0,1080000.0,1080000.0,1080000.0,159949.1504010473,135899.82482944794,103562.21511020832,131120.89833388435,17.34407441150692,17.4103063395001,17.378930469979268,17.496475665632344,7.987850687230807,8.336270656335563,7.9878506405625109,8.336270572157668,19.999999999999955,45.87065559440207,20.0,24.0,20.000000000000058,47.00137984904428,20.0,24.0,19.999999999999998,45.87065506278062,20.0,24.0,20.000000000000055,47.00137985733528,20.0,24.0,10768099.47698866,133881.07343731845,9311072.696953757,0.0,10566966.305464732,126065.5048592217,9312538.931775939,0.0,10687922.592334103,133871.12946015234,9311072.696868156,0.0,10454296.375156502,126053.37239136837,9312538.931897136,0.0,0.17556610569161644,0.1756078607259883,0.17556610568961193,0.17560786072865854 
